종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"347000","센코","KOSDAQ","일반전기전자","16250","-50","-0.31","134082715000"
"331920","셀레믹스","KOSDAQ","제약","15100","400","2.72","123278634800"
"049180","셀루메드","KOSDAQ","제약","6800","40","0.59","269327416400"
"299660","셀리드","KOSDAQ","기타서비스","43450","350","0.81","422820292400"
"268600","셀리버리","KOSDAQ","기타서비스","42300","-700","-1.63","733219697700"
"108860","셀바스AI","KOSDAQ","소프트웨어","10750","150","1.42","237101408750"
"208370","셀바스헬스케어","KOSDAQ","의료·정밀기기","2910","50","1.75","63090441240"
"068760","셀트리온제약","KOSDAQ","제약","128400","1300","1.02","4693124132400"
"091990","셀트리온헬스케어","KOSDAQ","유통","81800","900","1.11","12681331136400"
"290690","소룩스","KOSDAQ","일반전기전자","9820","50","0.51","81082198260"
"053110","소리바다","KOSDAQ","디지털컨텐츠","3960","0","0.00","19563782040"
"950200","소마젠","KOSDAQ","기타서비스","8780","-40","-0.45","167992595340"
"032680","소프트센","KOSDAQ","유통","2315","-45","-1.91","82820979315"
"032685","소프트센우","KOSDAQ","유통","30500","-250","-0.81","4357138500"
"258790","소프트캠프","KOSDAQ","출판·매체복제","2995","-130","-4.16","74848895580"
"066910","손오공","KOSDAQ","유통","2370","0","0.00","63743901570"
"043100","솔고바이오","KOSDAQ","의료·정밀기기","1065","5","0.47","64708556520"
"154040","솔루에타","KOSDAQ","IT부품","3080","30","0.98","42581665280"
"035610","솔본","KOSDAQ","기타서비스","5440","-70","-1.27","148762223680"
"357780","솔브레인","KOSDAQ","화학","278900","1400","0.50","2169442057400"
"036830","솔브레인홀딩스","KOSDAQ","기타서비스","34450","150","0.44","722211729200"
"304100","솔트룩스","KOSDAQ","소프트웨어","14550","-200","-1.36","148429351500"
"086980","쇼박스","KOSDAQ","오락·문화","5430","120","2.26","339918000000"
"050960","수산아이앤티","KOSDAQ","출판·매체복제","17450","2050","13.31","117804950000"
"084180","수성이노베이션","KOSDAQ","기계·장비","2045","60","3.02","116176918305"
"253840","수젠텍","KOSDAQ","의료·정밀기기","13750","-200","-1.43","212580720000"
"236200","슈프리마","KOSDAQ","일반전기전자","24600","100","0.41","176954515800"
"317770","슈프리마아이디","KOSDAQ","일반전기전자","17000","0","0.00","51918340000"
"094840","슈프리마에이치큐","KOSDAQ","컴퓨터서비스","7230","140","1.97","75711403200"
"192440","슈피겐코리아","KOSDAQ","IT부품","43000","700","1.65","267303609000"
"099440","스맥","KOSDAQ","기계·장비","1955","20","1.03","60086160595"
"033790","스카이문스테크놀로지","KOSDAQ","통신장비","829","0","0.00","14190075900"
"131100","스카이이앤엠","KOSDAQ","유통","3885","-10","-0.26","45231613665"
"159910","스킨앤스킨","KOSDAQ","반도체","263","0","0.00","75277601849"
"115570","스타플렉스","KOSDAQ","화학","6950","-210","-2.93","55492330600"
"253450","스튜디오드래곤","KOSDAQ","오락·문화","88400","500","0.57","2653253954000"
"204630","스튜디오산타클로스","KOSDAQ","오락·문화","2170","0","0.00","80742781350"
"013810","스페코","KOSDAQ","기계·장비","5480","10","0.18","80311975600"
"039670","스포츠서울","KOSDAQ","출판·매체복제","7360","0","0.00","67797501120"
"049830","승일","KOSDAQ","금속","13700","400","3.01","84009934400"
"020710","시공테크","KOSDAQ","기타서비스","6490","50","0.78","130111325300"
"033170","시그네틱스","KOSDAQ","반도체","2040","235","13.02","174885770760"
"048870","시너지이노베이션","KOSDAQ","의료·정밀기기","3915","-135","-3.33","311378170410"
"025320","시노펙스","KOSDAQ","IT부품","2730","10","0.37","199953275340"
"269620","시스웍","KOSDAQ","의료·정밀기기","1055","0","0.00","114519676080"
"131090","시큐브","KOSDAQ","소프트웨어","1405","-20","-1.40","59010000000"
"139050","시티랩스","KOSDAQ","컴퓨터서비스","871","8","0.93","85672424032"
"290520","신도기연","KOSDAQ","기계·장비","15400","-200","-1.28","124143712000"
"001000","신라섬유","KOSDAQ","유통","2275","90","4.12","55231403500"
"025870","신라에스지","KOSDAQ","유통","12000","350","3.00","48000000000"
"215600","신라젠","KOSDAQ","기타서비스","12100","0","0.00","1244692212500"
"065350","신성델타테크","KOSDAQ","일반전기전자","16100","-50","-0.31","442491562800"
"002800","신신제약","KOSDAQ","제약","6380","10","0.16","96787790000"
"323280","신영스팩5호","KOSDAQ","금융","2065","25","1.23","7237825000"
"344050","신영스팩6호","KOSDAQ","금융","2130","15","0.71","9169650000"
"017000","신원종합개발","KOSDAQ","건설","12650","-100","-0.78","147600541550"
"012790","신일제약","KOSDAQ","제약","11600","-100","-0.85","130119357600"
"138070","신진에스엠","KOSDAQ","금속","6120","20","0.33","54909759960"
"226330","신테카바이오","KOSDAQ","출판·매체복제","16600","-450","-2.64","224100265600"
"333050","신한제6호스팩","KOSDAQ","금융","2060","0","0.00","10320600000"
"366330","신한제7호스팩","KOSDAQ","금융","2070","0","0.00","9418500000"
"393360","신한제8호스팩","KOSDAQ","금융","2090","0","0.00","15361500000"
"056700","신화인터텍","KOSDAQ","IT부품","2965","20","0.68","86385544815"
"187270","신화콘텍","KOSDAQ","IT부품","4370","-5","-0.11","44328602650"
"243840","신흥에스이씨","KOSDAQ","IT부품","59900","1700","2.92","465017417100"
"257720","실리콘투","KOSDAQ","유통","19250","-150","-0.77","192976707000"
"222800","심텍","KOSDAQ","반도체","44250","-1700","-3.70","1409545827750"
"036710","심텍홀딩스","KOSDAQ","IT부품","4320","-130","-2.92","175666661280"
"160980","싸이맥스","KOSDAQ","반도체","19500","0","0.00","213022738500"
"356890","싸이버원","KOSDAQ","소프트웨어","13350","150","1.14","61955080500"
"217330","싸이토젠","KOSDAQ","기타서비스","56000","100","0.18","325493112000"
"010280","쌍용정보통신","KOSDAQ","컴퓨터서비스","888","5","0.57","56800062192"
"208640","썸에이지","KOSDAQ","출판·매체복제","2220","50","2.30","303397991640"
"222420","쎄노텍","KOSDAQ","비금속","1705","20","1.19","68469688375"
"037760","쎄니트","KOSDAQ","금속","2050","30","1.49","69357488050"
"099320","쎄트렉아이","KOSDAQ","통신장비","43150","-450","-1.03","392043942050"
"049960","쎌바이오텍","KOSDAQ","제약","18900","-100","-0.53","177660000000"
"050890","쏠리드","KOSDAQ","통신장비","6440","-60","-0.92","394267361600"
"066790","씨씨에스","KOSDAQ","방송서비스","694","12","1.76","38867515110"
"222080","씨아이에스","KOSDAQ","기계·장비","13950","300","2.20","857052929700"
"352480","씨앤씨인터내셔널","KOSDAQ","화학","18700","0","0.00","187260696700"
"264660","씨앤지하이테크","KOSDAQ","반도체","13400","50","0.37","112633432000"
"352700","씨앤투스성진","KOSDAQ","섬유·의류","8510","-110","-1.28","81688604810"
"297090","씨에스베어링","KOSDAQ","기계·장비","17700","300","1.72","169573080000"
"359090","씨엔알리서치","KOSDAQ","기타서비스","2100","20","0.96","110216007300"
"115530","씨엔플러스","KOSDAQ","IT부품","839","0","0.00","57020957000"
"225330","씨엠에스에듀","KOSDAQ","기타서비스","6920","110","1.62","128951625760"
"115480","씨유메디칼","KOSDAQ","의료·정밀기기","1135","-15","-1.30","51239035875"
"376290","씨유테크","KOSDAQ","IT부품","7300","380","5.49","128899750000"
"189330","씨이랩","KOSDAQ","소프트웨어","34400","-200","-0.58","207338569600"
"096530","씨젠","KOSDAQ","제약","61400","-700","-1.13","3206676031600"
"900120","씨케이에이치","KOSDAQ","금융","259","-2","-0.77","31196463494"
"101240","씨큐브","KOSDAQ","화학","6870","50","0.73","69649324080"
"060590","씨티씨바이오","KOSDAQ","제약","8850","70","0.80","209068329000"
"260930","씨티케이","KOSDAQ","화학","11350","-200","-1.73","219527057850"
"013990","아가방컴퍼니","KOSDAQ","유통","4935","15","0.30","162299990160"
"123860","아나패스","KOSDAQ","반도체","26600","100","0.38","308484402800"
"025980","아난티","KOSDAQ","숙박·음식","10250","200","1.99","873616345750"
"050320","아래스","KOSDAQ","컴퓨터서비스","990","0","0.00","45205142400"
"058220","아리온","KOSDAQ","통신장비","275","0","0.00","10717917100"
"125210","아모그린텍","KOSDAQ","IT부품","11850","150","1.28","195486961500"
"357580","아모센스","KOSDAQ","IT부품","21100","350","1.69","236321603600"
"052710","아모텍","KOSDAQ","IT부품","24850","200","0.81","242123639100"
"074430","아미노로직스","KOSDAQ","유통","2175","15","0.69","191023385700"
"092040","아미코젠","KOSDAQ","음식료·담배","30900","-50","-0.16","610327777200"
"083930","아바코","KOSDAQ","기계·장비","12550","-100","-0.79","193430614900"
"149950","아바텍","KOSDAQ","IT부품","19500","50","0.26","304346250000"
"036010","아비코전자","KOSDAQ","일반전기전자","11250","-250","-2.17","149545507500"
"050860","아세아텍","KOSDAQ","기계·장비","2755","0","0.00","61987500000"
"246720","아스타","KOSDAQ","제약","4585","-25","-0.54","58068011715"
"067390","아스트","KOSDAQ","운송장비·부품","5690","10","0.18","146207360860"
"159010","아스플로","KOSDAQ","기계·장비","24000","1100","4.80","106677912000"
"127710","아시아경제","KOSDAQ","디지털컨텐츠","3300","20","0.61","99681146400"
"154030","아시아종묘","KOSDAQ","농업, 임업 및 어업","5540","60","1.09","58834628260"
"227610","아우딘퓨쳐스","KOSDAQ","화학","1500","-65","-4.15","33268272000"
"143160","아이디스","KOSDAQ","통신장비","23350","400","1.74","250227706500"
"054800","아이디스홀딩스","KOSDAQ","기타서비스","13100","-150","-1.13","135555603600"
"332370","아이디피","KOSDAQ","정보기기","7740","80","1.04","51369319620"
"339950","아이비김영","KOSDAQ","기타서비스","3760","-55","-1.44","168999422800"
"099190","아이센스","KOSDAQ","의료·정밀기기","29400","250","0.86","403874797200"
"289010","아이스크림에듀","KOSDAQ","출판·매체복제","7080","70","1.00","91077381960"
"214430","아이쓰리시스템","KOSDAQ","일반전기전자","19200","0","0.00","136449792000"
"040910","아이씨디","KOSDAQ","반도체","12850","200","1.58","232140557050"
"068940","아이씨케이","KOSDAQ","정보기기","3995","160","4.17","138545489390"
"052860","아이앤씨","KOSDAQ","반도체","3755","-35","-0.92","67075016770"
"069920","아이에스이커머스","KOSDAQ","유통","3075","-30","-0.97","79416063150"
"038880","아이에이","KOSDAQ","반도체","1005","5","0.50","296242995750"
"307180","아이엘사이언스","KOSDAQ","일반전기전자","5930","-10","-0.17","133046778670"
"101390","아이엠","KOSDAQ","IT부품","638","0","0.00","42867145354"
"078860","아이오케이","KOSDAQ","오락·문화","1415","65","4.81","126145195420"
"114810","아이원스","KOSDAQ","IT부품","10650","50","0.47","271608803100"
"031310","아이즈비전","KOSDAQ","통신장비","4370","-55","-1.24","71842354260"
"185490","아이진","KOSDAQ","기타서비스","18200","-700","-3.70","389652499600"
"059100","아이컴포넌트","KOSDAQ","IT부품","7260","260","3.71","51334443600"
"262840","아이퀘스트","KOSDAQ","소프트웨어","10400","-50","-0.48","102544000000"
"175250","아이큐어","KOSDAQ","제약","18900","-600","-3.08","179832970800"
"052460","아이크래프트","KOSDAQ","컴퓨터서비스","4360","15","0.35","63690600960"
"119830","아이텍","KOSDAQ","반도체","8780","0","0.00","160304133720"
"052770","아이톡시","KOSDAQ","디지털컨텐츠","2085","0","0.00","40936750305"
"124500","아이티센","KOSDAQ","컴퓨터서비스","4985","30","0.61","99238055005"
"372800","아이티아이즈","KOSDAQ","소프트웨어","22900","-300","-1.29","132292842000"
"084850","아이티엠반도체","KOSDAQ","반도체","43250","-400","-0.92","1000081168000"
"114840","아이패밀리에스씨","KOSDAQ","화학","17200","-300","-1.71","70868747200"
"027360","아주IB투자","KOSDAQ","금융","4040","35","0.87","488124742240"
"032080","아즈텍WB","KOSDAQ","섬유·의류","3325","20","0.61","71457671425"
"013310","아진산업","KOSDAQ","운송장비·부품","3070","50","1.66","119136206740"
"059120","아진엑스텍","KOSDAQ","반도체","10350","0","0.00","100897968600"
"158430","아톤","KOSDAQ","소프트웨어","43650","-200","-0.46","190033636050"
"067160","아프리카TV","KOSDAQ","소프트웨어","201400","-2200","-1.08","2315046073800"
"001540","안국약품","KOSDAQ","제약","10650","50","0.47","138901773000"
"053800","안랩","KOSDAQ","소프트웨어","76000","3100","4.25","761052980000"
"065660","안트로젠","KOSDAQ","유통","57000","-300","-0.52","537045165000"
"297570","알로이스","KOSDAQ","통신장비","2930","-65","-2.17","101440168740"
"260660","알리코제약","KOSDAQ","제약","7510","-40","-0.53","115105927710"
"361570","알비더블유","KOSDAQ","오락·문화","26950","-550","-2.00","213729400500"
"131370","알서포트","KOSDAQ","디지털컨텐츠","7940","-170","-2.10","422940639020"
"140670","알에스오토메이션","KOSDAQ","IT부품","12700","-250","-1.93","118149878000"
"096610","알에프세미","KOSDAQ","반도체","4850","80","1.68","50800835150"
"061040","알에프텍","KOSDAQ","통신장비","5850","-170","-2.82","187722165150"
"148250","알엔투테크놀로지","KOSDAQ","정보기기","15200","-250","-1.62","116135432800"
"347860","알체라","KOSDAQ","소프트웨어","32900","300","0.92","451397310700"
"196170","알테오젠","KOSDAQ","기타서비스","70000","-1000","-1.41","2958497500000"
"123750","알톤스포츠","KOSDAQ","운송장비·부품","4205","95","2.31","53598178885"
"085810","알티캐스트","KOSDAQ","소프트웨어","2315","95","4.28","68722555235"
"117670","알파홀딩스","KOSDAQ","반도체","3020","20","0.67","65848327640"
"291650","압타머사이언스","KOSDAQ","기타서비스","17350","100","0.58","146887286100"
"293780","압타바이오","KOSDAQ","기타서비스","34950","-750","-2.10","775766486700"
"196300","애니젠","KOSDAQ","제약","14800","250","1.72","82917828800"
"310200","애니플러스","KOSDAQ","오락·문화","5020","115","2.34","147577201980"
"900100","애머릿지","KOSDAQ","유통","3585","0","0.00","112029919965"
"205500","액션스퀘어","KOSDAQ","디지털컨텐츠","6410","110","1.75","266164891440"
"052790","액토즈소프트","KOSDAQ","디지털컨텐츠","17700","4050","29.67","200552292600"
"290740","액트로","KOSDAQ","IT부품","8800","200","2.33","88572096800"
"238090","앤디포스","KOSDAQ","비금속","9070","80","0.89","214098674220"
"092600","앤씨앤","KOSDAQ","반도체","4065","-10","-0.25","91910255685"
"129890","앱코","KOSDAQ","정보기기","13500","50","0.37","132752007000"
"174900","앱클론","KOSDAQ","제약","17750","0","0.00","271185724750"
"255440","야스","KOSDAQ","IT부품","15800","900","6.04","206316400000"
"060230","얍엑스","KOSDAQ","IT부품","1390","-100","-6.71","120435267030"
"030960","양지사","KOSDAQ","출판·매체복제","9200","90","0.99","147016000000"
"102120","어보브반도체","KOSDAQ","반도체","14100","0","0.00","246181107300"
"238120","얼라인드","KOSDAQ","의료·정밀기기","8380","130","1.58","60247574240"
"019990","에너토크","KOSDAQ","기계·장비","10550","0","0.00","102926728400"
"136510","에디슨EV","KOSDAQ","기계·장비","24700","-1850","-6.97","713908546000"
"270660","에브리봇","KOSDAQ","일반전기전자","27650","-450","-1.60","168545303150"
"038680","에스넷","KOSDAQ","컴퓨터서비스","7910","30","0.38","127154950650"
"217480","에스디생명공학","KOSDAQ","화학","3215","40","1.26","72064437190"
"121890","에스디시스템","KOSDAQ","정보기기","739","0","0.00","7101198800"
"097780","에스맥","KOSDAQ","IT부품","945","-15","-1.56","267926636250"
"042110","에스씨디","KOSDAQ","일반전기전자","1790","5","0.28","86509919560"
"298060","에스씨엠생명과학","KOSDAQ","제약","18600","-600","-3.13","223606484400"
"065420","에스아이리소스","KOSDAQ","광업","639","0","0.00","43500682854"
"103230","에스앤더블류","KOSDAQ","기계·장비","2505","0","0.00","18036000000"
"260970","에스앤디","KOSDAQ","음식료·담배","18900","-400","-2.07","76723038000"
"101490","에스앤에스텍","KOSDAQ","반도체","35550","-150","-0.42","762598940850"
"095910","에스에너지","KOSDAQ","IT부품","4350","75","1.75","84375510150"
"275630","에스에스알","KOSDAQ","소프트웨어","6380","150","2.41","38394769820"
"031330","에스에이엠티","KOSDAQ","유통","4545","125","2.83","454477579515"
"060540","에스에이티","KOSDAQ","통신장비","3030","-35","-1.14","79183917180"
"351320","에스에이티이엔지","KOSDAQ","IT부품","5140","40","0.78","104577854040"
"056190","에스에프에이","KOSDAQ","기계·장비","37000","-50","-0.13","1328624120000"
"080000","에스엔유","KOSDAQ","기계·장비","3440","-20","-0.58","118070672800"
"214310","에스엘바이오닉스","KOSDAQ","반도체","7360","510","7.45","33705878080"
"041510","에스엠","KOSDAQ","오락·문화","72000","1100","1.55","1709704872000"
"007820","에스엠코어","KOSDAQ","기계·장비","7020","0","0.00","140638300920"
"109610","에스와이","KOSDAQ","금속","3745","-75","-1.96","176958024705"
"306040","에스제이그룹","KOSDAQ","섬유·의류","21400","0","0.00","211128719200"
"096630","에스코넥","KOSDAQ","IT부품","1790","-25","-1.38","118440718210"
"069510","에스텍","KOSDAQ","일반전기전자","9370","140","1.52","102226700000"
"041910","에스텍파마","KOSDAQ","제약","9430","0","0.00","112200620090"
"234300","에스트래픽","KOSDAQ","소프트웨어","5720","220","4.00","119125635200"
"039440","에스티아이","KOSDAQ","반도체","19900","700","3.65","315017000000"
"098660","에스티오","KOSDAQ","섬유·의류","2505","-35","-1.38","31314944880"
"052020","에스티큐브","KOSDAQ","IT부품","8110","-100","-1.22","247970573330"
"237690","에스티팜","KOSDAQ","제약","137900","-1300","-0.93","2572662400000"
"050760","에스폴리텍","KOSDAQ","화학","3810","10","0.26","62235123180"
"288620","에스퓨얼셀","KOSDAQ","일반전기전자","29050","250","0.87","199698879800"
"317830","에스피시스템스","KOSDAQ","기계·장비","10150","170","1.70","82678855000"
"058610","에스피지","KOSDAQ","IT부품","11500","100","0.88","255039640000"
"043340","에쎈테크","KOSDAQ","기계·장비","999","1","0.10","71928000000"
"187660","에이디엠코리아","KOSDAQ","기타서비스","5800","40","0.69","126650250000"
"054630","에이디칩스","KOSDAQ","기타제조","811","0","0.00","64644372871"
"200710","에이디테크놀로지","KOSDAQ","반도체","21650","-50","-0.23","288590862800"
"096690","에이루트","KOSDAQ","정보기기","730","29","4.14","109911060080"
"298380","에이비엘바이오","KOSDAQ","제약","21300","400","1.91","1003725757500"
"203400","에이비온","KOSDAQ","기타서비스","14750","500","3.51","276623520750"
"195990","에이비프로바이오","KOSDAQ","기계·장비","968","9","0.94","244620918080"
"003800","에이스침대","KOSDAQ","기타제조","43900","1500","3.54","486851000000"
"088800","에이스테크","KOSDAQ","통신장비","14300","100","0.70","625247494300"
"241840","에이스토리","KOSDAQ","오락·문화","27100","-550","-1.99","258310696000"
"312610","에이에프더블류","KOSDAQ","일반전기전자","6310","0","0.00","127820963280"
"072990","에이치시티","KOSDAQ","기타서비스","15800","-150","-0.94","110530653800"
"227100","에이치앤비디자인","KOSDAQ","일반전기전자","8440","490","6.16","41139927560"
"176440","에이치엔티","KOSDAQ","IT부품","1920","0","0.00","164619542400"
"028300","에이치엘비","KOSDAQ","운송장비·부품","33550","-50","-0.15","3576767647200"
"067630","에이치엘비생명과학","KOSDAQ","기타서비스","12000","-50","-0.41","1145976972000"
"047920","에이치엘비제약","KOSDAQ","기타서비스","13200","-100","-0.75","344496002400"
"115450","에이치엘비테라퓨틱스","KOSDAQ","유통","14950","300","2.05","404965884050"
"043220","에이치엘비파워","KOSDAQ","기계·장비","1560","5","0.32","142139988120"
"239610","에이치엘사이언스","KOSDAQ","음식료·담배","35600","100","0.28","191959294000"
"353070","에이치엠씨제4호스팩","KOSDAQ","금융","2080","5","0.24","8964800000"
"353060","에이치엠씨제5호스팩","KOSDAQ","금융","2080","5","0.24","10639200000"
"044780","에이치케이","KOSDAQ","기계·장비","2155","45","2.13","39879970985"
"357230","에이치피오","KOSDAQ","음식료·담배","13400","50","0.37","267171344000"
"071670","에이테크솔루션","KOSDAQ","기계·장비","15700","-300","-1.88","157000000000"
"045660","에이텍","KOSDAQ","정보기기","23100","50","0.22","190806000000"
"224110","에이텍티앤","KOSDAQ","정보기기","22900","-500","-2.14","122286000000"
"230980","에이트원","KOSDAQ","출판·매체복제","1905","-25","-1.30","112616330520"
"021080","에이티넘인베스트","KOSDAQ","금융","5380","50","0.94","258240000000"
"089530","에이티세미콘","KOSDAQ","반도체","1585","140","9.69","49076104570"
"200470","에이팩트","KOSDAQ","반도체","6340","-60","-0.94","117139038260"
